mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd
KEPLER,10797460,10797460,1,9.48803557,2.9575,615.8,0.146,,2.26,,,93.59,793.0,5455.0,4.467,0.927,,,,35.8,0.0,0.0,0.0,0.0,170.53875,2455003.53875
KEPLER,10811496,10811496,1,19.89913995,1.7822,10829.0,0.969,,14.6,,,39.3,638.0,5853.0,4.544,0.868,,,,76.3,0.0,0.0,0.0,0.0,175.850252,2455008.850252
KEPLER,10848459,10848459,0,1.736952453,2.40641,8079.2,1.276,,33.46,,,891.96,1395.0,5805.0,4.564,0.791,,,,505.6,0.0,1.0,0.0,0.0,170.307565,2455003.307565
KEPLER,10854555,10854555,1,2.525591777,1.6545,603.3,0.701,,2.75,,,926.16,1406.0,6031.0,4.438,1.046,,,,40.9,0.0,0.0,0.0,0.0,171.59555,2455004.59555
KEPLER,10872983,10872983,1,11.09432054,4.5945,1517.5,0.538,,3.9,,,114.81,835.0,6046.0,4.486,0.972,,,,66.5,0.0,0.0,0.0,0.0,171.20116,2455004.20116
KEPLER,6721123,6721123,0,7.36178958,5.022,233.7,1.169,,39.21,,,767.22,1342.0,6227.0,3.986,1.958,,,,47.7,0.0,1.0,1.0,0.0,132.25053,2454965.25053
KEPLER,10910878,10910878,1,16.06864674,3.5347,4914.3,0.052,,5.76,,,30.75,600.0,5031.0,4.485,0.848,,,,161.9,0.0,0.0,0.0,0.0,173.621937,2455006.621937
KEPLER,11446443,11446443,1,2.470613377,1.74319,14231.0,0.818,,13.04,,,761.46,1339.0,5820.0,4.457,0.964,,,,4304.3,0.0,0.0,0.0,0.0,122.763305,2454955.763305
KEPLER,10666592,10666592,1,2.204735417,3.88864,6674.7,0.224,,16.1,,,4148.92,2048.0,6440.0,4.019,1.952,,,,5945.9,0.0,1.0,0.0,0.0,121.3585417,2454954.3585417
KEPLER,6922244,6922244,1,3.522498429,3.19843,9145.7,0.631,,14.59,,,1264.67,1521.0,6225.0,4.169,1.451,,,,1741.5,0.0,0.0,0.0,0.0,121.1194228,2454954.1194228
KEPLER,10984090,10984090,1,3.709214104,2.6302,131.1,0.051,,1.16,,,500.46,1206.0,5833.0,4.407,1.022,,,,50.6,0.0,0.0,0.0,0.0,133.98318,2454966.98318
KEPLER,10419211,10419211,0,11.521446064,3.6399,17984.0,2.483,,150.51,,,75.88,753.0,5795.0,4.554,0.848,,,,622.1,0.0,1.0,0.0,0.0,170.839688,2455003.839688
KEPLER,10464078,10464078,0,19.40393776,12.2155,8918.7,0.804,,7.18,,,17.69,523.0,5043.0,4.591,0.68,,,,214.7,0.0,1.0,0.0,0.0,172.484253,2455005.484253
KEPLER,10480982,10480982,0,19.221388942,4.79843,74284.0,1.065,,49.29,,,55.97,698.0,6117.0,4.496,0.947,,,,2317.0,0.0,1.0,0.0,0.0,184.5521637,2455017.5521637
KEPLER,10485250,10485250,0,16.46983774,9.4378,10479.0,0.292,,7.94,,,29.61,595.0,5152.0,4.517,0.786,,,,303.4,0.0,1.0,0.0,0.0,180.881761,2455013.881761
KEPLER,10526549,10526549,1,9.27358173,3.2875,1288.3,0.387,,2.47,,,41.85,649.0,4856.0,4.583,0.696,,,,87.2,0.0,0.0,0.0,0.0,173.258155,2455006.258155
KEPLER,10583066,10583066,1,6.02930329,1.5821,1912.7,0.258,,2.85,,,50.04,678.0,4537.0,4.648,0.672,,,,65.4,0.0,0.0,0.0,0.0,171.602959,2455004.602959
KEPLER,10583180,10583180,0,2.696370652,3.6129,397.9,0.044,,1.58,,,305.34,1066.0,4989.0,4.504,0.819,,,,48.2,0.0,1.0,1.0,1.0,170.73769,2455003.73769
KEPLER,10601284,10601284,1,5.349553819,3.0278,831.0,0.092,,2.55,,,168.99,919.0,5185.0,4.44,0.91,,,,60.6,0.0,0.0,0.0,0.0,171.80694,2455004.80694
KEPLER,2306756,2306756,0,386.6030528,6.8057,24927.0,0.9765,,41.5,,,1.84,297.0,5543.0,4.081,1.58,,,,994.0,0.0,1.0,0.0,0.0,166.342079,2454999.342079
KEPLER,10662202,10662202,1,21.67699193,3.4555,857.2,0.896,,2.95,,,18.64,530.0,4954.0,4.5,0.828,,,,34.3,0.0,0.0,0.0,0.0,171.53594,2455004.53594
KEPLER,10682541,10682541,1,4.99677968,2.1717,934.7,0.71,,2.78,,,166.95,917.0,5339.0,4.552,0.847,,,,28.2,0.0,0.0,0.0,0.0,171.74208,2455004.74208
KEPLER,11460018,11460018,1,4.280963604,2.875,750.8,0.424,,2.3,,,247.87,1012.0,5644.0,4.564,0.831,,,,61.8,0.0,0.0,0.0,0.0,171.89659,2455004.89659
KEPLER,11463211,11463211,0,1.50635409,1.5155,2211.7,0.86,,4.53,,,1054.12,1452.0,5714.0,4.563,0.831,,,,181.1,0.0,0.0,1.0,0.0,170.998064,2455003.998064
KEPLER,11465813,11465813,0,670.645531,53.412,18091.0,0.701,,14.14,,,0.35,196.0,5520.0,4.466,0.983,,,,642.7,0.0,1.0,1.0,0.0,209.04355,2455042.04355
KEPLER,11493732,11493732,0,61.2563628,7.633,5123.3,1.248,,39.87,,,15.43,505.0,6144.0,4.402,1.091,,,,85.3,0.0,1.0,0.0,0.0,173.83826,2455006.83826
KEPLER,11507101,11507101,1,38.3775486,5.588,724.2,0.468,,2.82,,,18.53,529.0,5481.0,4.369,1.036,,,,34.7,0.0,0.0,0.0,0.0,172.82048,2455005.82048
KEPLER,10987985,10987985,1,16.01308419,3.2554,1121.9,0.799,,3.1,,,29.31,593.0,5015.0,4.499,0.826,,,,33.2,0.0,0.0,0.0,0.0,176.3608,2455009.3608
KEPLER,11018648,11018648,1,32.62876672,4.7971,1804.8,0.021,,3.36,,,15.55,506.0,5586.0,4.56,0.798,,,,80.0,0.0,0.0,0.0,0.0,194.1019,2455027.1019
KEPLER,11138155,11138155,1,4.959319244,2.22739,9802.0,0.831,,12.21,,,349.4,1103.0,5712.0,4.359,1.082,,,,696.5,0.0,0.0,0.0,0.0,172.2585292,2455005.2585292
KEPLER,11152159,11152159,0,2.701287801,3.3827,860.4,1.016,,6.54,,,527.81,1222.0,5550.0,4.468,0.91,,,,48.3,0.0,1.0,1.0,0.0,170.69579,2455003.69579
KEPLER,11153539,11153539,1,4.49876511,3.7362,460.0,0.312,,2.1,,,389.62,1133.0,6075.0,4.486,0.969,,,,29.5,0.0,0.0,0.0,0.0,171.34905,2455004.34905
KEPLER,11242721,11242721,0,19.651209505,5.2514,11766.0,0.723,,12.42,,,67.03,730.0,6074.0,4.391,1.063,,,,513.4,0.0,1.0,0.0,0.0,179.401981,2455012.401981
KEPLER,9579641,9579641,1,5.412203927,2.9472,601.6,0.787,,2.94,,,337.68,1093.0,5779.0,4.339,1.087,,,,166.7,0.0,0.0,0.0,0.0,133.143089,2454966.143089
KEPLER,11304958,11304958,1,41.43958662,10.5989,2793.1,0.355,,5.5,,,16.72,516.0,5468.0,4.367,1.046,,,,141.1,0.0,0.0,0.0,0.0,208.93203,2455041.93203
KEPLER,11391957,11391957,1,8.35389523,2.2514,1041.6,0.023,,2.52,,,91.9,790.0,5592.0,4.582,0.787,,,,43.4,0.0,0.0,0.0,0.0,171.63257,2455004.63257
KEPLER,11403044,11403044,1,4.125543472,3.1744,1487.3,0.597,,4.43,,,565.35,1243.0,6174.0,4.417,1.103,,,,128.6,0.0,0.0,0.0,0.0,169.752585,2455002.752585
KEPLER,11414511,11414511,1,2.816504904,2.50587,16814.0,0.105,,12.21,,,521.13,1219.0,5532.0,4.452,0.955,,,,1406.8,0.0,0.0,0.0,0.0,170.9676846,2455003.9676846
KEPLER,11442465,11442465,0,33.93373447,14.561,8503.7,0.812,,7.34,,,8.11,430.0,5040.0,4.628,0.705,,,,236.1,0.0,1.0,1.0,0.0,186.67608,2455019.67608
KEPLER,12110942,12110942,1,3.689920099,2.6557,426.7,0.151,,1.89,,,408.99,1147.0,5880.0,4.518,0.917,,,,35.6,0.0,0.0,0.0,0.0,170.36571,2455003.36571
KEPLER,12366084,12366084,1,4.431238488,3.15,1010.9,0.405,,3.25,,,351.23,1104.0,5714.0,4.428,1.015,,,,71.1,0.0,0.0,0.0,0.0,171.015,2455004.015
KEPLER,12404086,12404086,1,26.39432897,3.573,1510.9,0.602,,3.07,,,13.49,489.0,5129.0,4.595,0.763,,,,48.2,0.0,0.0,0.0,0.0,176.05459,2455009.05459
KEPLER,8395660,8395660,1,13.57078281,3.3539,511.7,0.866,,2.64,,,89.61,785.0,5854.0,4.406,1.012,,,,88.4,0.0,0.0,0.0,0.0,136.279194,2454969.279194
KEPLER,11656840,11656840,0,7.442652004,2.3078,24446.0,0.137,,15.03,,,206.78,967.0,6108.0,4.469,0.956,,,,835.6,0.0,1.0,0.0,0.0,169.9717797,2455002.9717797
KEPLER,11754553,11754553,1,16.38489988,3.0249,1127.1,0.001,,2.0,,,8.35,433.0,4126.0,4.661,0.615,,,,28.9,0.0,0.0,0.0,0.0,172.72782,2455005.72782
KEPLER,11812062,11812062,1,3.728732147,2.683,5226.5,0.558,,6.02,,,258.34,1023.0,5497.0,4.577,0.809,,,,345.2,0.0,0.0,0.0,0.0,171.793255,2455004.793255
